Time,Positive Count,Negative Count
0,128,66
1,130,64
2,126,68
3,97,58
4,122,71
5,130,62
6,112,66
7,128,75
8,104,65
9,147,64
10,143,89
11,96,54
12,115,63
13,133,65
14,112,71
15,140,59
16,135,57
17,121,78
18,123,81
19,147,70
20,122,56
21,112,63
22,143,64
23,120,76
24,111,78
25,132,89
26,130,74
27,153,88
28,88,63
29,112,57
30,97,56
31,109,68
32,107,88
33,150,91
34,109,70
35,121,59
36,131,75
37,140,68
38,112,74
39,124,62
40,115,66
41,97,55
42,114,56
43,111,73
44,112,66
45,108,56
46,107,72
47,123,58
48,152,93
49,100,69
50,113,68
51,123,76
52,122,79
53,125,70
54,130,59
55,121,70
56,113,50
57,114,68
58,119,71
59,110,79
60,131,71
61,150,79
62,140,86
63,110,75
64,108,47
65,122,64
66,122,53
67,100,66
68,110,55
69,118,69
70,131,73
71,128,79
72,135,66
73,117,72
74,126,62
75,110,57
76,119,66
77,137,65
78,122,74
79,139,81
80,108,87
81,115,70
82,111,62
83,112,79
84,128,83
85,101,70
86,133,68
87,123,73
88,111,64
89,124,61
90,132,76
91,140,76
92,110,74
93,97,73
94,135,74
95,114,68
96,122,78
97,134,72
98,122,62
99,118,67
100,121,69
101,87,74
